,School_ID,Wards,crime_capita,crime_class,Year,Attendance,Network
21,609715,1,0.0975272727272727,Medium,2013,90.725,Network 16
23,610357,1,0.0975272727272727,Medium,2013,90.3,Network 16
26,400135,1,0.0975272727272727,Medium,2013,74.975,Options
39,609715,1,0.0846545454545454,Medium,2014,92.5,Network 16
41,610357,1,0.0846545454545454,Medium,2014,89.65,Network 16
44,400135,1,0.0846545454545454,Medium,2014,78.73333333333333,Options
57,609715,1,0.0828545454545454,Medium,2015,91.55,Network 16
59,610357,1,0.0828545454545454,Medium,2015,85.875,Network 16
62,400135,1,0.0828545454545454,Medium,2015,78.06666666666666,Options
75,609715,1,0.0956363636363636,Medium,2016,90.35,Network 16
77,610357,1,0.0956363636363636,Medium,2016,90.1,Network 16
80,400135,1,0.0956363636363636,Medium,2016,69.53333333333333,Options
93,609715,1,0.0977090909090909,Medium,2017,89.025,Network 16
95,610357,1,0.0977090909090909,Medium,2017,85.85,Network 16
98,400135,1,0.0977090909090909,Medium,2017,57.975,Options
111,609715,1,0.0880181818181818,Medium,2018,90.7,Network 16
113,610357,1,0.0880181818181818,Medium,2018,88.675,Network 16
116,400135,1,0.0880181818181818,Medium,2018,65.425,Options
129,609715,1,0.0876,Medium,2019,89.375,Network 16
131,610357,1,0.0876,Medium,2019,82.975,Network 16
134,400135,1,0.0876,Medium,2019,67.56666666666666,Options
165,609715,1,0.0611818181818181,Medium,2021,77.8,Network 16
167,610357,1,0.0611818181818181,Medium,2021,60.15,Network 16
170,400135,1,0.0611818181818181,Medium,2021,56.03333333333333,Options
183,609715,1,0.0803818181818181,Medium,2022,78.5,Network 16
185,610357,1,0.0803818181818181,Medium,2022,64.575,Network 16
188,400135,1,0.0803818181818181,Medium,2022,63.46666666666667,Options
256,610570,2,0.1941636363636363,High,2015,52.75,Options
271,610570,2,0.2064,High,2016,55.2,Options
286,610570,2,0.2083272727272727,High,2017,56.125,Options
301,610570,2,0.1834,High,2018,58.650000000000006,Options
316,610570,2,0.0958909090909091,Medium,2019,54.975,Options
346,610570,2,0.0634909090909091,Medium,2021,51.0,Options
361,610570,2,0.0683090909090909,Medium,2022,38.125,Options
382,610391,3,0.1516727272727272,High,2013,91.975,Network 16
384,609709,3,0.1516727272727272,High,2013,77.32499999999999,Network 16
388,609711,3,0.1516727272727272,High,2013,78.44999999999999,Public
395,610563,3,0.1327454545454545,High,2014,95.8,ISP
396,610391,3,0.1327454545454545,High,2014,92.55,Network 16
398,609709,3,0.1327454545454545,High,2014,79.65,Network 16
402,609711,3,0.1327454545454545,High,2014,84.05,Public
409,610563,3,0.1217818181818181,Medium,2015,96.6,ISP
410,610391,3,0.1217818181818181,Medium,2015,92.25,Network 16
412,609709,3,0.1217818181818181,Medium,2015,85.1,Network 16
416,609711,3,0.1217818181818181,Medium,2015,85.8,Public
421,400167,3,0.1281090909090909,High,2016,98.4,Charter
423,610563,3,0.1281090909090909,High,2016,95.96666666666664,ISP
424,610391,3,0.1281090909090909,High,2016,92.15,Network 16
426,609709,3,0.1281090909090909,High,2016,90.525,Network 16
430,609711,3,0.1281090909090909,High,2016,85.80000000000001,Public
435,400167,3,0.1290181818181818,High,2017,92.5,Charter
437,610563,3,0.1290181818181818,High,2017,94.0,ISP
438,610391,3,0.1290181818181818,High,2017,90.6,Network 16
440,609709,3,0.1290181818181818,High,2017,91.6,Network 16
444,609711,3,0.1290181818181818,High,2017,81.075,Public
449,400167,3,0.1275636363636363,Medium,2018,94.06666666666666,Charter
451,610563,3,0.1275636363636363,Medium,2018,93.25,ISP
452,610391,3,0.1275636363636363,Medium,2018,90.725,Network 16
454,609709,3,0.1275636363636363,Medium,2018,90.625,Network 16
458,609711,3,0.1275636363636363,Medium,2018,84.7,Public
463,400167,3,0.1346363636363636,High,2019,93.925,Charter
465,610563,3,0.1346363636363636,High,2019,91.35,ISP
466,610391,3,0.1346363636363636,High,2019,90.5,Network 16
468,609709,3,0.1346363636363636,High,2019,88.6,Network 16
472,609711,3,0.1346363636363636,High,2019,85.0,Public
491,400167,3,0.112490909090909,Medium,2021,94.6,Charter
493,610563,3,0.112490909090909,Medium,2021,86.9,ISP
494,610391,3,0.112490909090909,Medium,2021,86.35,Network 16
496,609709,3,0.112490909090909,Medium,2021,73.3,Network 16
500,609711,3,0.112490909090909,Medium,2021,88.0,Public
505,400167,3,0.1347636363636363,High,2022,92.5,Charter
507,610563,3,0.1347636363636363,High,2022,84.35,ISP
508,610391,3,0.1347636363636363,High,2022,86.9,Network 16
510,609709,3,0.1347636363636363,High,2022,82.075,Network 16
538,609682,4,0.0893818181818181,Medium,2013,79.65,Network 16
544,400086,4,0.0893818181818181,Medium,2013,94.475,Charter
548,400077,4,0.0893818181818181,Medium,2013,96.025,Charter
553,400129,4,0.0893818181818181,Medium,2013,79.63333333333334,Options
